,x,y,z,n,r,p,r,n+p
304,85.786,6.25,42.5,0.0807426,0.0578846,0.349097,0.0561624,0.4298396
304,85.786,6.25,47.5,0.0750844,0.0582586,0.364277,0.0567737,0.4393614
304,85.786,10.417,-47.5,0.0809638,0.0607951,0.331673,0.0596714,0.4126368
304,85.786,10.417,-42.5,0.0649904,0.0566356,0.375665,0.0615469,0.4406554
304,85.786,10.417,-37.5,0.0772998,0.0547872,0.383063,0.0572914,0.4603628
304,85.786,10.417,-32.5,0.0879299,0.0567872,0.424913,0.0535266,0.5128429
304,85.786,10.417,-27.5,0.0872831,0.051986,0.461977,0.0522492,0.5492601
304,85.786,10.417,-22.5,0.102674,0.0502577,0.462012,0.049844,0.564686
304,85.786,10.417,-17.5,0.107797,0.0526916,0.507426,0.0531756,0.615223
304,85.786,10.417,-12.5,0.11484,0.0493563,0.50443,0.0518398,0.61927
304,85.786,10.417,-7.5,0.124818,0.0496085,0.520922,0.0501652,0.64574
304,85.786,10.417,-2.5,0.115134,0.0491607,0.498628,0.0497638,0.613762
304,85.786,10.417,2.5,0.1197,0.049717,0.482921,0.0495597,0.602621
304,85.786,10.417,7.5,0.117874,0.0508369,0.478051,0.0511296,0.595925
304,85.786,10.417,12.5,0.112153,0.0505733,0.48137,0.0514339,0.593523
304,85.786,10.417,17.5,0.102482,0.0537825,0.456425,0.0526668,0.558907
304,85.786,10.417,22.5,0.102784,0.053554,0.455818,0.0585001,0.558602
304,85.786,10.417,27.5,0.0944987,0.0531114,0.436732,0.053959,0.5312307
304,85.786,10.417,32.5,0.088504,0.0539362,0.441005,0.055746,0.529509
304,85.786,10.417,37.5,0.0855654,0.0562723,0.389974,0.0581355,0.4755394
304,85.786,10.417,42.5,0.0744275,0.0560694,0.390219,0.0580162,0.4646465
304,85.786,10.417,47.5,0.0808642,0.0567738,0.426715,0.0587552,0.5075792
304,91.071,2.083,-47.5,0.142,0.0509292,0.558401,0.0526821,0.700401
304,91.071,2.083,-42.5,0.147105,0.0479634,0.590144,0.0496463,0.737249
304,91.071,2.083,-37.5,0.151799,0.0471244,0.572535,0.0483812,0.724334
304,91.071,2.083,-32.5,0.159466,0.0459529,0.602234,0.0472129,0.7617
304,91.071,2.083,-27.5,0.188723,0.0437689,0.657837,0.0464112,0.84656
304,91.071,2.083,-22.5,0.190687,0.0446985,0.659757,0.0450369,0.850444
304,91.071,2.083,-17.5,0.179124,0.0447266,0.719965,0.0446451,0.899089
304,91.071,2.083,-12.5,0.198584,0.0444196,0.760314,0.0443289,0.958898
304,91.071,2.083,-7.5,0.191862,0.0435619,0.756546,0.042822,0.948408
304,91.071,2.083,-2.5,0.206389,0.042905,0.792438,0.0421208,0.998827
304,91.071,2.083,2.5,0.211462,0.0421519,0.792323,0.0443402,1.003785
304,91.071,2.083,7.5,0.215524,0.0429731,0.718268,0.0440204,0.933792
304,91.071,2.083,12.5,0.212602,0.043522,0.759645,0.0420683,0.972247
304,91.071,2.083,17.5,0.186849,0.0429605,0.717934,0.0427372,0.904783
304,91.071,2.083,22.5,0.179873,0.0439885,0.700238,0.0464115,0.880111
304,91.071,2.083,27.5,0.181047,0.0456265,0.657834,0.0455563,0.838881
304,91.071,2.083,32.5,0.169868,0.0460132,0.637069,0.0467104,0.806937
304,91.071,2.083,37.5,0.154033,0.0483686,0.626595,0.0496501,0.780628
304,91.071,2.083,42.5,0.147774,0.0489093,0.533239,0.0508201,0.681013
304,91.071,2.083,47.5,0.139011,0.0511573,0.603523,0.0488147,0.742534
304,91.071,6.25,-47.5,0.139682,0.0474797,0.516211,0.0463343,0.655893
304,91.071,6.25,-42.5,0.157561,0.0445037,0.612311,0.0440735,0.769872
304,91.071,6.25,-37.5,0.159891,0.0432858,0.637687,0.0426397,0.797578
304,91.071,6.25,-32.5,0.177943,0.0420079,0.650507,0.0412486,0.82845
304,91.071,6.25,-27.5,0.190967,0.0406207,0.725648,0.0399171,0.916615
304,91.071,6.25,-22.5,0.211241,0.0397259,0.729416,0.0384016,0.940657
